Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.6364522,0,234.0192,58.8,0,0,58.77822,79.43559,4.550082,95.8758778624418,95.8758778621813,0.000223489191967183,0.958758800002605,0.9587588,0.000002234892,89.9999,89.9999,0.004793794,0.00000001117446
0.02,S,0.02,0.010,0,0.6364522,0,456.5695,58.79416,0.00006560918,0,58.75644,79.43559,4.554879,217.675074374884,217.675074374447,0.000436068883591989,3.13550900000694,3.135509,0.000006595581,89.9999,89.9999,0.02526513,0.00000005532683
0.03,S,0.03,0.010,0,0.6364523,0,679.1199,58.77662,0.0007017163,0,58.73466,79.43559,4.559677,339.572168008024,339.572168007404,0.000648819440048561,6.5312310000131,6.531231,0.00001308378,89.9999,89.9999,0.07359883,0.0000001537236
0.04,S,0.04,0.010,0,0.6364526,0,901.6703,58.74739,0.003044634,0,58.71288,79.43559,4.564474,461.639311209131,461.639311208326,0.000861866791071956,11.1476200000211,11.14762,0.00002170245,89.9999,89.9999,0.1619931,0.0000003276548
0.05,S,0.05,0.010,0,0.6364528,0,990.2477,58.70647,0.00886969,0,58.6911,79.43559,4.569271,510.525042965779,510.5250429649,0.000947188486229601,16.2528700000299,16.25287,0.00003117434,89.9999,89.9999,0.2989956,0.0000005920388
0.05999999,S,0.05999999,0.01435168,0,0.5933024,0,1011,58.65737,0.01757569,0,58.66932,79.43559,4.574068,522.357550937685,522.357550936788,0.000967840106444337,21.4764500000389,21.47645,0.00004085274,89.9999,89.9999,0.4876422,0.0000009521741
0.06999999,S,0.06999999,0.01896423,0,0.5631126,0,1014.797,58.60505,0.02912688,0,58.64754,79.43559,4.578865,524.930638453678,524.930638452778,0.000972330991871175,26.7257600000479,26.72576,0.00005057605,89.9999,89.9999,0.7286532,0.000001409318
0.07999999,S,0.07999999,0.02359952,0,0.5411197,0,1018.594,58.55244,0.04334352,0,58.62577,79.43559,4.583663,527.509779551338,527.509779550433,0.000976832444303875,32.0008600000569,32.00086,0.00006034438,89.9999,89.9999,1.022286,0.00000196392
0.08999999,S,0.08999999,0.0282576,0,0.5240337,0,1022.391,58.49963,0.0601796,0,58.60398,79.43559,4.588459,530.093997644504,530.093997643596,0.000981342755102771,37.301800000066,37.3018,0.00007015781,89.9999,89.9999,1.3688,0.000002616431
0.09999999,S,0.09999999,0.03293851,0,0.5101818,0,1026.188,58.44662,0.07960622,0,58.58221,79.43559,4.593256,532.683527568334,532.683527567422,0.000985862337870085,42.6286400000751,42.62864,0.00008001643,89.9999,89.9999,1.768452,0.000003367302
