PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 4154
Apogee: 1884' AGL
Ground Elevation: -336' MSL
NumSamps: 1960
Flight Number: 3
Main Setting: 400' AGL
Apogee Delay: 1 Seconds
Drogue At: 12.00 Seconds
Main At: 47.10 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 1 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
0.00, 0, 0, 49.12, 9.40
0.05, -1, -13, 49.10, 9.40
0.10, -1, 1, 49.12, 9.40
0.15, -1, -4, 49.12, 9.40
0.20, 0, 2, 49.12, 9.40
0.25, -1, 4, 49.12, 9.40
0.30, 0, 4, 49.12, 9.40
0.35, 1, 4, 49.10, 9.40
0.40, 1, 5, 49.12, 9.40
0.45, 0, 9, 49.10, 9.40
0.50, 0, 17, 49.12, 9.40
0.55, 0, 31, 49.12, 9.40
0.60, 2, 48, 49.12, 9.40
0.65, 9, 67, 49.12, 9.40
0.70, 12, 88, 49.12, 9.40
0.75, 15, 110, 49.10, 9.40
0.80, 22, 134, 49.12, 9.40
0.85, 31, 162, 49.08, 9.40
0.90, 40, 191, 49.08, 9.40
0.95, 50, 218, 49.10, 9.40
1.00, 63, 239, 49.10, 9.40
1.05, 80, 250, 49.10, 9.40
1.10, 95, 254, 49.08, 9.40
1.15, 105, 253, 49.10, 9.40
1.20, 118, 253, 49.12, 9.40
1.25, 125, 261, 49.10, 9.40
1.30, 138, 277, 49.10, 9.40
1.35, 157, 298, 49.08, 9.40
1.40, 172, 321, 49.12, 9.40
1.45, 191, 338, 49.10, 9.40
1.50, 209, 348, 49.08, 9.40
1.55, 227, 354, 49.10, 9.40
1.60, 245, 356, 49.08, 9.40
1.65, 262, 360, 49.08, 9.40
1.70, 279, 365, 49.08, 9.40
1.75, 297, 371, 49.08, 9.40
1.80, 317, 376, 49.08, 9.40
1.85, 339, 375, 49.08, 9.40
1.90, 358, 368, 49.08, 9.40
1.95, 375, 356, 49.08, 9.40
2.00, 392, 342, 49.08, 9.40
2.05, 409, 334, 49.08, 9.40
2.10, 420, 333, 49.08, 9.40
2.15, 438, 339, 49.08, 9.40
2.20, 455, 349, 49.06, 9.40
2.25, 476, 357, 49.06, 9.40
2.30, 495, 358, 49.06, 9.40
2.35, 514, 352, 49.06, 9.40
2.40, 531, 340, 49.06, 9.40
2.45, 547, 327, 49.06, 9.40
2.50, 560, 318, 49.06, 9.40
2.55, 574, 315, 49.06, 9.40
2.60, 590, 317, 49.06, 9.40
2.65, 609, 321, 49.06, 9.40
2.70, 625, 324, 49.06, 9.40
2.75, 641, 323, 49.06, 9.40
2.80, 657, 319, 49.06, 9.40
2.85, 672, 311, 49.06, 9.40
2.90, 690, 302, 49.06, 9.40
2.95, 703, 294, 49.06, 9.40
3.00, 717, 288, 49.05, 9.40
3.05, 729, 286, 49.06, 9.40
3.10, 744, 288, 49.05, 9.40
3.15, 758, 294, 49.06, 9.40
3.20, 773, 300, 49.05, 9.40
3.25, 790, 304, 49.06, 9.40
3.30, 807, 304, 49.03, 9.40
3.35, 821, 301, 49.03, 9.40
3.40, 835, 294, 49.03, 9.40
3.45, 850, 287, 49.03, 9.40
3.50, 864, 281, 49.03, 9.40
3.55, 877, 276, 49.03, 9.40
3.60, 891, 272, 49.03, 9.40
3.65, 904, 270, 49.03, 9.40
3.70, 918, 270, 49.03, 9.40
3.75, 930, 269, 49.03, 9.40
3.80, 945, 269, 49.03, 9.40
3.85, 958, 269, 49.03, 9.40
3.90, 972, 267, 49.03, 9.40
3.95, 985, 264, 49.03, 9.40
4.00, 998, 260, 49.03, 9.40
4.05, 1011, 256, 48.99, 9.40
4.10, 1023, 253, 49.03, 9.40
4.15, 1035, 251, 49.03, 9.40
4.20, 1048, 247, 49.03, 9.40
4.25, 1062, 245, 48.99, 9.40
4.30, 1072, 242, 48.99, 9.40
4.35, 1085, 239, 48.99, 9.40
4.40, 1095, 239, 48.99, 9.40
4.45, 1107, 241, 49.03, 9.40
4.50, 1121, 242, 48.97, 9.40
4.55, 1132, 243, 49.03, 9.40
4.60, 1145, 242, 48.97, 9.40
4.65, 1157, 239, 48.97, 9.40
4.70, 1170, 234, 48.97, 9.40
4.75, 1180, 229, 48.97, 9.40
4.80, 1191, 225, 48.97, 9.40
4.85, 1202, 222, 48.97, 9.40
4.90, 1213, 221, 48.97, 9.40
4.95, 1224, 220, 48.99, 9.40
5.00, 1235, 219, 48.97, 9.40
5.05, 1247, 218, 48.97, 9.40
5.10, 1257, 216, 48.97, 9.40
5.15, 1268, 213, 48.97, 9.40
5.20, 1278, 211, 48.97, 9.40
5.25, 1288, 210, 48.97, 9.40
5.30, 1299, 208, 48.97, 9.40
5.35, 1310, 205, 48.97, 9.40
5.40, 1320, 202, 48.97, 9.40
5.45, 1330, 198, 48.96, 9.40
5.50, 1339, 195, 48.97, 9.40
5.55, 1348, 192, 48.97, 9.40
5.60, 1358, 191, 48.97, 9.40
5.65, 1368, 191, 48.97, 9.40
5.70, 1377, 191, 48.97, 9.40
5.75, 1387, 190, 48.97, 9.40
5.80, 1396, 189, 48.97, 9.40
5.85, 1406, 187, 48.97, 9.40
5.90, 1415, 185, 48.96, 9.40
5.95, 1424, 183, 48.96, 9.40
6.00, 1433, 181, 48.97, 9.40
6.05, 1442, 179, 48.94, 9.40
6.10, 1452, 177, 48.96, 9.40
6.15, 1459, 174, 48.97, 9.40
6.20, 1468, 171, 48.94, 9.40
6.25, 1477, 167, 48.96, 9.40
6.30, 1486, 164, 48.94, 9.40
6.35, 1492, 162, 48.96, 9.40
6.40, 1501, 160, 48.96, 9.40
6.45, 1508, 159, 48.97, 9.40
6.50, 1516, 159, 48.97, 9.40
6.55, 1526, 158, 48.96, 9.40
6.60, 1532, 157, 48.97, 9.40
6.65, 1540, 156, 48.96, 9.40
6.70, 1548, 153, 48.97, 9.40
6.75, 1556, 151, 48.94, 9.40
6.80, 1563, 150, 48.96, 9.40
6.85, 1570, 148, 48.94, 9.40
6.90, 1577, 146, 48.97, 9.40
6.95, 1586, 144, 48.94, 9.40
7.00, 1592, 142, 48.96, 9.40
7.05, 1600, 139, 48.94, 9.40
7.10, 1605, 138, 48.97, 9.40
7.15, 1612, 137, 48.96, 9.40
7.20, 1620, 136, 48.94, 9.40
7.25, 1626, 136, 48.96, 9.40
7.30, 1633, 136, 48.94, 9.40
7.35, 1640, 135, 48.94, 9.40
7.40, 1647, 133, 48.94, 9.40
7.45, 1653, 130, 48.94, 9.40
7.50, 1660, 127, 48.94, 9.40
7.55, 1666, 125, 48.94, 9.40
7.60, 1671, 123, 48.96, 9.40
7.65, 1678, 121, 48.94, 9.40
7.70, 1684, 119, 48.94, 9.40
7.75, 1690, 117, 48.92, 9.40
7.80, 1696, 114, 48.94, 9.40
7.85, 1701, 111, 48.94, 9.40
7.90, 1706, 109, 48.94, 9.40
7.95, 1712, 107, 48.94, 9.40
8.00, 1717, 106, 48.94, 9.40
8.05, 1722, 105, 48.94, 9.40
8.10, 1728, 104, 48.94, 9.40
8.15, 1732, 102, 48.96, 9.40
8.20, 1738, 99, 48.94, 9.40
8.25, 1743, 97, 48.94, 9.40
8.30, 1747, 94, 48.94, 9.40
8.35, 1752, 92, 48.94, 9.40
8.40, 1755, 91, 48.94, 9.40
8.45, 1761, 91, 48.94, 9.40
8.50, 1765, 90, 48.94, 9.40
8.55, 1770, 89, 48.94, 9.40
8.60, 1775, 85, 48.94, 9.40
8.65, 1779, 82, 48.94, 9.40
8.70, 1781, 79, 48.94, 9.40
8.75, 1786, 78, 48.94, 9.40
8.80, 1789, 77, 48.94, 9.40
8.85, 1794, 77, 48.92, 9.40
8.90, 1797, 76, 48.94, 9.40
8.95, 1802, 74, 48.94, 9.40
9.00, 1805, 72, 48.94, 9.40
9.05, 1808, 69, 48.92, 9.40
9.10, 1812, 67, 48.94, 9.40
9.15, 1814, 66, 48.94, 9.40
9.20, 1818, 65, 48.94, 9.40
9.25, 1822, 64, 48.94, 9.40
9.30, 1824, 63, 48.94, 9.40
9.35, 1827, 62, 48.92, 9.40
9.40, 1831, 60, 48.92, 9.40
9.45, 1834, 58, 48.92, 9.40
9.50, 1837, 56, 48.92, 9.40
9.55, 1838, 53, 48.94, 9.40
9.60, 1842, 52, 48.92, 9.40
9.65, 1843, 51, 48.92, 9.40
9.70, 1847, 50, 48.92, 9.40
9.75, 1849, 49, 48.92, 9.40
9.80, 1851, 48, 48.92, 9.40
9.85, 1854, 46, 48.92, 9.40
9.90, 1856, 44, 48.92, 9.40
9.95, 1858, 42, 48.92, 9.40
10.00, 1859, 40, 48.92, 9.40
10.05, 1863, 38, 48.92, 9.40
10.10, 1864, 36, 48.92, 9.40
10.15, 1865, 34, 48.92, 9.40
10.20, 1867, 32, 48.92, 9.40
10.25, 1868, 31, 48.92, 9.40
10.30, 1870, 29, 48.92, 9.40
10.35, 1872, 27, 48.92, 9.40
10.40, 1873, 25, 48.92, 9.40
10.45, 1874, 23, 48.92, 9.40
