PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 3971
Apogee: 1883' AGL
Ground Elevation: -344' MSL
NumSamps: 920
Flight Number: 3
Main Setting: 500' AGL
Apogee Delay: 0 Seconds
Drogue At: 10.95 Seconds
Main At: 35.15 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 3 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
0.00, 1, 0, 46.71, 9.40
0.05, 0, -7, 46.71, 9.40
0.10, 1, -1, 46.71, 9.40
0.15, 0, -4, 46.71, 9.40
0.20, 1, -2, 46.71, 9.40
0.25, 0, -2, 46.71, 9.40
0.30, 0, -2, 46.71, 9.40
0.35, 0, -2, 46.71, 9.40
0.40, 0, 2, 46.71, 9.40
0.45, 0, 8, 46.71, 9.40
0.50, -1, 17, 46.71, 9.40
0.55, 1, 32, 46.69, 9.40
0.60, 1, 48, 46.69, 9.40
0.65, 9, 68, 46.71, 9.40
0.70, 10, 89, 46.71, 9.40
0.75, 16, 110, 46.71, 9.40
0.80, 23, 134, 46.69, 9.40
0.85, 30, 161, 46.71, 9.40
0.90, 39, 189, 46.69, 9.40
0.95, 50, 216, 46.69, 9.40
1.00, 62, 239, 46.71, 9.40
1.05, 79, 252, 46.71, 9.40
1.10, 94, 256, 46.69, 9.40
1.15, 106, 256, 46.69, 9.40
1.20, 117, 254, 46.69, 9.40
1.25, 127, 261, 46.69, 9.40
1.30, 137, 277, 46.69, 9.40
1.35, 155, 298, 46.69, 9.40
1.40, 173, 321, 46.69, 9.40
1.45, 190, 339, 46.71, 9.40
1.50, 210, 348, 46.69, 9.40
1.55, 228, 351, 46.69, 9.40
1.60, 244, 351, 46.69, 9.40
1.65, 261, 353, 46.69, 9.40
1.70, 277, 359, 46.71, 9.40
1.75, 295, 367, 46.69, 9.40
1.80, 316, 373, 46.71, 9.40
1.85, 337, 374, 46.69, 9.40
1.90, 357, 370, 46.71, 9.40
1.95, 372, 360, 46.71, 9.40
2.00, 391, 348, 46.69, 9.40
2.05, 408, 340, 46.69, 9.40
2.10, 421, 338, 46.69, 9.40
2.15, 439, 342, 46.69, 9.40
2.20, 454, 350, 46.69, 9.40
2.25, 475, 356, 46.69, 9.40
2.30, 494, 358, 46.69, 9.40
2.35, 514, 352, 46.69, 9.40
2.40, 531, 340, 46.69, 9.40
2.45, 547, 327, 46.69, 9.40
2.50, 559, 318, 46.69, 9.40
2.55, 575, 315, 46.69, 9.40
2.60, 588, 318, 46.69, 9.40
2.65, 608, 323, 46.69, 9.40
2.70, 626, 327, 46.69, 9.40
2.75, 641, 326, 46.69, 9.40
2.80, 658, 321, 46.69, 9.40
2.85, 672, 313, 46.69, 9.40
2.90, 690, 303, 46.69, 9.40
2.95, 704, 293, 46.69, 9.40
3.00, 717, 286, 46.69, 9.40
3.05, 729, 284, 46.69, 9.40
3.10, 744, 286, 46.69, 9.40
3.15, 758, 292, 46.69, 9.40
3.20, 773, 299, 46.69, 9.40
3.25, 790, 303, 46.67, 9.40
3.30, 807, 303, 46.69, 9.40
3.35, 820, 300, 46.69, 9.40
